1,342,3702
2,960,3705
3,598,6850
4,746,1117
5,172,5635
6,863,751
7,1028,179
8,909,4365
9,320,2591
10,114,5765
11,1030,330
12,989,2560
13,825,5406
14,4,4230
15,428,496
16,229,586
17,274,5231
18,144,6809
19,1089,5824
20,474,2205
21,154,4129
22,577,3920
23,229,656
24,1076,4663
25,658,1911
26,686,2198
27,319,3983
28,767,5490
29,470,2822
30,130,4606
31,767,3311
32,667,4133
33,160,6972
34,648,5664
35,225,4986
36,608,189
37,674,5512
38,768,893
39,600,6949
40,66,6504
41,155,6710
42,748,2544
43,399,6585
44,733,4294
45,623,834
46,771,3700
47,263,207
48,737,2568
49,190,2937
50,697,2378
51,650,3218
52,483,4371
53,900,1717
54,988,3154
55,289,1238
56,321,1763
57,108,4471
58,8,4750
59,571,4172
60,101,1282
61,23,1245
62,627,4052
63,575,3813
64,819,2616
65,961,715
66,890,1162
67,893,3196
68,134,5962
69,352,3427
70,606,2762
71,821,2471
72,882,3493
73,31,4103
74,507,5709
75,126,836
76,404,177
77,204,1083
78,227,1305
79,748,4806
80,492,5496
81,1054,422
82,695,3981
83,114,4758
84,642,4158
85,767,1951
86,573,258
87,456,148
88,453,2920
89,1085,1337
90,984,1473
91,389,5597
92,910,2023
93,425,5969
94,1054,4625
95,129,724
96,789,220
97,519,772
98,125,3151
99,428,1035
100,839,6227
101,959,4492
102,849,3333
103,701,6208
104,497,2378
105,1083,5346
106,1075,5646
107,371,4843
108,1043,5792
109,878,5866
110,120,5605
111,467,2564
112,502,1264
113,301,3227
114,714,4843
115,927,1295
116,348,3605
117,621,6886
118,230,5448
119,420,6793
120,248,4293
121,847,6156
122,772,6983
123,869,3145
124,926,192
125,274,1675
126,994,3228
127,397,3154
128,959,736
129,733,1255
130,80,726
131,1072,5661
132,430,2417
133,418,3978
134,857,863
135,930,6569
136,468,815
137,683,2342
138,80,224
139,502,6165
140,505,292
141,451,1783
142,855,3600
143,144,3898
144,304,4457
145,361,779
146,1027,4380
147,635,5779
148,310,2001
149,352,2163
150,29,6669
151,283,4341
152,454,4443
153,905,4505
154,838,3039
155,1071,2113
156,658,4767
157,616,586
158,187,5558
159,508,1231
160,492,5997
161,419,6635
162,385,2920
163,707,6411
164,293,2515
165,544,2982
166,474,535
167,514,5410
168,186,5885
169,755,1044
170,434,5646
171,984,6010
172,1033,5540
173,509,4913
174,598,2481
175,992,1927
176,456,6986
177,517,1620
178,1056,271
179,581,1282
180,762,834
181,735,5710
182,753,4689
183,1040,6266
184,195,554
185,1031,1296
186,428,6442
187,164,2797
188,672,345
189,146,1935
190,93,3838
191,296,756
192,276,3555
193,1085,5433
194,479,6293
195,620,5796
196,964,586
197,523,5407
198,813,5782
199,660,2802
200,818,3948
201,783,1435
202,1073,6022
203,579,5644
204,657,3746
205,435,337
206,403,6537
207,993,5172
208,812,3164
209,669,6271
210,1055,1389
211,1005,1813
212,430,3487
213,466,134
214,542,939
215,727,3390
216,452,4201
217,489,3336
218,996,2655
219,990,4420
220,494,4713
221,72,3690
222,128,2653
223,639,2473
224,159,569
225,591,2777
226,446,6844
