1,6172,58,4
2,3095,4664,3
3,2914,3656,5
4,2137,6490,5
5,1451,4861,3
6,4431,6103,4
7,645,2317,1
8,2607,3933,3
9,4150,475,5
10,2879,1038,3
11,1674,2015,1
12,1388,2148,5
13,742,3661,4
14,2562,3190,4
15,5495,2643,1
16,1701,761,1
17,1589,6699,5
18,93,4570,5
19,6688,6139,4
20,4867,3960,4
21,855,4709,4
22,3231,2074,4
23,393,5332,4
24,4446,1394,3
25,2745,5144,4
26,6652,478,1
27,6580,356,4
28,6178,3287,4
29,6055,4717,1
30,5486,4564,2
31,2146,3286,4
32,3065,2697,1
33,3597,5167,4
34,4288,2922,4
35,3247,1829,5
36,2428,220,2
37,4384,4441,3
38,6087,4997,2
39,1477,5530,5
40,2631,1299,3
41,5693,3514,4
42,2366,3955,3
43,2449,4771,4
44,3929,6094,3
45,6815,998,2
46,1950,4356,5
47,6620,193,1
48,5221,3127,4
49,6575,1706,5
50,5671,2483,2
51,2826,5557,2
52,3648,4099,1
53,3229,668,5
54,4094,355,1
55,1806,3231,3
56,415,4685,1
57,3652,2213,3
58,3060,421,4
59,5822,6363,2
60,1580,5886,2
61,4097,4484,4
62,4816,5294,5
63,4322,466,1
64,3629,585,1
65,4684,632,5
66,4282,142,1
67,1400,2714,1
68,633,4571,4
69,6448,1634,1
70,1748,908,1
71,2802,170,3
72,1072,1231,1
73,5238,2693,1
74,2334,2869,4
75,5080,6765,4
76,2462,1575,4
77,2551,1379,2
78,5293,3444,1
79,1578,6297,1
80,628,6117,4
81,942,4788,1
82,400,1869,3
83,533,4260,3
84,6820,721,5
85,6204,1886,4
86,1480,4162,4
87,2391,794,1
88,6719,3509,2
89,181,3412,3
90,2602,6759,1
91,4365,5383,4
92,660,4788,2
93,1809,3349,4
94,5820,873,5
95,1273,3757,2
96,2671,4745,5
97,5374,906,3
98,2888,5169,1
99,497,770,2
100,3699,6698,5
101,3745,2891,5
102,3569,415,2
103,5097,2840,4
104,6398,6213,5
105,6276,1223,3
106,1161,5898,3
107,1498,4257,3
108,5296,4995,2
109,6569,3934,4
110,3939,3420,3
111,6988,2718,4
112,4984,1361,4
113,2541,6181,2
114,4403,4971,2
115,1447,1724,5
116,2075,3309,2
117,3593,3357,3
118,2920,1972,5
119,4511,5299,5
120,2618,5773,4
121,5643,2129,3
122,178,5201,3
123,2653,6467,3
124,5399,2282,5
125,1633,3698,2
126,3556,713,1
127,3746,4588,3
128,6923,3083,5
129,5766,6241,1
130,4064,190,3
131,2710,4449,3
132,6407,3574,2
133,2838,4728,4
134,171,1754,4
135,1462,5562,1
136,4293,4857,3
137,4931,1533,4
138,2716,4556,3
139,5555,196,5
140,3995,1199,2
141,5843,1765,4
142,5509,856,5
143,6343,5590,2
144,452,149,4
145,5521,2049,4
146,3310,2875,2
147,2330,1450,5
148,2123,2908,1
149,3416,735,4
150,6666,3212,1
151,2315,3157,3
152,2636,2592,3
153,2183,5183,2
154,455,1342,4
155,3362,1531,5
156,6449,2727,4
157,1263,3529,5
158,5918,4258,4
159,513,3956,3
160,2901,6909,5
161,4320,1320,3
162,4757,611,4
163,4043,2668,3
164,297,2891,4
165,2874,4709,1
166,1236,5250,5
167,3476,3147,4
168,2010,664,3
169,2384,5595,2
170,3299,5024,3
171,1247,5169,5
172,2867,807,5
173,359,5658,1
174,295,4850,3
175,238,4004,1
176,2204,5063,1
177,156,5963,4
178,3795,4911,5
179,4412,4817,2
180,4462,5217,3
181,5764,3415,3
182,5146,4910,4
183,4430,4731,2
184,5465,5004,2
185,2991,3804,4
186,1967,2875,4
187,5240,4556,4
188,2805,4116,4
189,876,3717,2
190,4750,3305,4
191,5284,2783,1
192,1994,2162,1
193,4408,3020,5
194,4562,2602,4
195,884,6254,5
196,3468,2348,2
197,3322,1295,5
198,3963,4730,2
199,5936,1886,3
200,2679,6444,1
201,3789,980,5
202,5418,330,5
203,2298,2060,5
204,5715,2230,2
205,5177,4627,4
206,4236,1248,3
207,4446,219,2
208,6124,4642,3
209,6676,487,3
210,5080,5076,3
211,3039,4557,5
212,936,2313,2
213,1891,5225,2
214,6133,6246,1
215,4941,35,5
216,5006,1076,3
217,3133,841,4
218,5349,2061,3
219,4395,5057,5
220,2168,5152,2
221,3495,1434,5
222,5335,6001,5
223,5244,2650,2
224,4453,4061,5
225,3,176,4
226,1084,6104,1
227,4837,6676,3
228,6909,6838,1
229,4129,6096,1
230,4601,3918,4
231,5013,4912,4
232,6906,4674,1
233,6816,5950,2
234,1165,4997,4
235,2408,3346,2
236,1591,4136,1
237,6575,691,1
238,6408,2253,5
239,5947,4385,2
240,1984,6153,4
241,3997,1507,4
242,159,4742,4
243,1073,6523,4
244,4791,5663,4
245,863,3609,4
246,23,2449,2
247,4916,6647,3
248,1222,1316,2
249,5680,2389,4
250,5324,3974,3
251,5391,2415,5
252,573,4821,4
253,3987,2716,5
254,1965,2038,4
255,3543,6401,2
256,2522,4308,1
257,2660,5666,3
258,2696,5729,3
259,3098,1409,3
260,1288,4348,2
261,485,3942,2
262,6965,3218,4
263,704,3462,5
264,2205,1030,4
265,2789,2082,4
266,592,3559,3
267,3565,2463,3
268,4501,3946,5
269,3099,6014,5
270,87,102,5
271,928,3352,3
272,365,2874,1
273,6209,1177,4
274,2525,3601,4
275,4301,3774,2
276,4333,6416,1
277,1389,1763,4
278,1586,4834,2
279,2270,332,4
280,2949,2016,5
281,3233,3394,3
282,5497,6594,3
283,4216,1217,2
284,1546,2527,5
285,6187,6599,4
286,5453,4581,1
287,6345,175,5
288,6525,698,4
289,1103,1252,4
290,6760,6408,1
291,4871,3570,4
292,2568,371,5
293,1776,1220,3
294,3376,2011,3
295,3884,626,1
296,6598,909,4
297,558,1423,5
298,1687,4290,4
299,5965,37,4
300,6767,5720,3
301,5066,6457,1
302,2326,2725,5
303,209,173,1
304,5861,1592,1
305,5038,5453,5
306,6142,4904,1
307,4646,4315,1
308,3158,2280,1
309,6337,620,3
310,3781,838,5
311,3607,5598,5
312,1759,3595,2
313,5990,6916,4
314,1761,559,3
315,1690,1939,4
316,2041,1515,1
317,6732,4631,2
318,3666,2921,5
319,1286,1154,5
320,5850,458,4
321,4288,2506,3
322,5089,131,2
323,5144,6370,3
324,3146,6494,3
325,4855,3862,4
326,1008,6156,5
327,1358,897,4
328,1473,1553,1
329,6409,983,5
330,1942,6995,4
331,2588,435,5
332,2818,837,1
333,5448,1366,4
334,2161,5824,5
335,99,1397,1
336,630,3735,2
337,5935,1893,3
338,1743,1417,1
339,3290,5093,2
340,224,4266,2
341,3054,2727,5
342,5265,2247,5
343,2324,6529,4
344,1536,1179,4
345,2898,5033,5
346,1566,6455,3
347,1225,2770,2
348,5614,3005,1
349,4538,5305,3
350,3897,6446,1
351,2336,2541,4
352,6429,5722,3
353,5532,2681,2
354,1791,5644,3
355,818,5429,2
356,1458,665,3
357,6262,5848,4
358,56,1249,3
359,3273,6847,4
360,2416,5560,1
361,5322,3462,2
362,2224,3181,4
363,3494,2754,2
364,41,6310,3
365,2665,2603,5
366,1570,6635,4
367,4098,1818,1
368,5515,186,4
369,5441,1787,4
370,2433,5366,5
371,3988,3001,1
372,5404,5602,5
373,569,4087,5
374,3148,1259,4
375,3281,2617,1
376,5292,4819,1
377,3945,195,3
378,3293,3135,5
379,6377,5866,1
380,5398,976,5
381,2160,1584,2
382,2013,1224,3
383,5478,147,1
384,5579,1293,1
385,3062,1653,3
386,1774,2080,4
387,6879,2784,2
388,811,2066,3
389,2233,631,3
390,5373,5439,1
391,5770,2416,5
392,5320,596,3
393,5339,6106,1
394,4947,1526,4
395,4423,2072,4
396,2241,2294,2
397,2529,5931,2
398,4184,6696,4
399,6441,5201,3
400,160,2391,3
401,6758,1979,2
402,1331,1979,4
403,5248,3786,1
404,1329,3341,4
405,5534,4138,1
406,3626,2070,2
407,6921,5178,5
408,6808,3767,3
409,3072,719,3
410,1650,459,5
411,5214,1821,5
412,1693,1144,5
413,6692,4039,3
414,5442,1676,1
415,2834,978,2
416,574,5143,1
417,1226,1986,1
418,3698,4250,2
419,820,2526,3
420,986,3763,3
421,5539,1557,5
422,530,401,4
423,1756,6519,2
424,6694,4018,3
425,6114,4701,5
426,3777,4376,3
427,1764,448,2
428,982,5178,3
429,4163,5458,3
430,4972,3725,5
431,1901,6510,2
432,6225,2777,1
433,5724,3795,4
434,6800,2262,5
435,5465,4020,3
436,1993,4079,4
437,569,3683,4
438,310,3602,3
439,2129,2456,5
440,4214,2579,3
441,1026,728,3
442,1408,2871,2
443,5549,2465,1
444,4495,6162,3
445,5888,6860,5
446,2997,6549,3
447,3152,5004,1
448,2884,4092,4
449,589,4547,2
450,4454,4624,3
451,285,3659,5
452,4651,5976,2
453,6410,1216,4
454,5676,6003,2
455,5100,1266,1
456,6709,2759,4
457,3498,899,2
458,2647,5952,1
459,823,751,1
460,5363,4870,3
461,5004,4092,4
462,5636,2373,5
463,4721,5940,4
464,4419,2116,1
465,1934,5757,4
466,6124,425,1
467,5213,5980,5
468,1281,75,2
469,5126,6023,3
470,4692,1589,4
471,2532,1902,5
472,6292,5619,1
473,99,6507,5
474,1173,294,2
475,4968,5146,4
476,1583,4194,1
477,4185,2819,2
478,6305,5519,3
479,3861,350,2
480,3656,5383,1
481,3682,4,2
482,1464,5508,3
483,5775,3124,4
484,1417,5126,1
485,6464,1835,4
486,3782,4761,1
487,2062,6548,4
488,4344,4645,1
489,607,1034,5
490,6826,1178,2
491,4821,5896,5
492,6853,3420,3
493,3960,637,3
